truck_id,order_id,sequence_number
0,55.0,1
0,223.0,2
0,253.0,3
0,126.0,4
0,219.0,5
0,424.0,6
0,130.0,7
1,210.0,1
1,324.0,2
2,111.0,1
2,426.0,2
2,172.0,3
2,327.0,4
3,109.0,1
3,61.0,2
4,339.0,1
5,155.0,1
5,116.0,2
6,300.0,1
6,351.0,2
6,390.0,3
6,17.0,4
6,103.0,5
6,368.0,6
6,29.0,7
6,183.0,8
6,361.0,9
6,485.0,10
7,401.0,1
7,346.0,2
7,493.0,3
7,372.0,4
8,399.0,1
9,420.0,1
9,473.0,2
9,316.0,3
10,200.0,1
10,380.0,2
10,100.0,3
10,293.0,4
10,365.0,5
10,369.0,6
10,458.0,7
10,261.0,8
10,408.0,9
10,343.0,10
11,371.0,1
12,11.0,1
12,105.0,2
12,234.0,3
12,384.0,4
12,249.0,5
13,104.0,1
13,195.0,2
13,470.0,3
13,164.0,4
13,3.0,5
13,65.0,6
13,442.0,7
13,287.0,8
14,41.0,1
15,429.0,1
15,211.0,2
15,232.0,3
15,96.0,4
15,278.0,5
15,297.0,6
15,483.0,7
15,354.0,8
15,206.0,9
15,337.0,10
16,416.0,1
16,427.0,2
16,466.0,3
17,315.0,1
17,464.0,2
17,488.0,3
17,38.0,4
17,431.0,5
18,348.0,1
18,230.0,2
18,54.0,3
18,481.0,4
19,443.0,1
19,42.0,2
19,445.0,3
19,428.0,4
19,366.0,5
20,89.0,1
20,117.0,2
20,169.0,3
21,350.0,1
21,184.0,2
21,496.0,3
21,110.0,4
21,192.0,5
21,179.0,6
21,325.0,7
21,132.0,8
21,347.0,9
22,20.0,1
22,387.0,2
22,378.0,3
23,275.0,1
23,377.0,2
23,422.0,3
23,294.0,4
24,271.0,1
24,163.0,2
24,233.0,3
24,436.0,4
24,486.0,5
25,229.0,1
25,82.0,2
25,112.0,3
25,150.0,4
26,333.0,1
26,467.0,2
26,131.0,3
26,218.0,4
27,207.0,1
27,2.0,2
27,176.0,3
27,257.0,4
27,27.0,5
27,75.0,6
27,303.0,7
27,87.0,8
28,212.0,1
28,321.0,2
28,338.0,3
28,267.0,4
28,268.0,5
28,453.0,6
28,388.0,7
28,402.0,8
28,272.0,9
28,487.0,10
29,296.0,1
29,34.0,2
29,199.0,3
30,26.0,1
30,145.0,2
30,497.0,3
30,189.0,4
30,299.0,5
30,400.0,6
30,107.0,7
30,180.0,8
31,392.0,1
32,197.0,1
32,115.0,2
32,40.0,3
32,301.0,4
33,484.0,1
33,137.0,2
33,256.0,3
34,158.0,1
34,181.0,2
34,217.0,3
34,136.0,4
34,274.0,5
34,33.0,6
34,162.0,7
34,224.0,8
35,52.0,1
35,68.0,2
35,76.0,3
35,214.0,4
35,281.0,5
35,129.0,6
35,64.0,7
35,367.0,8
35,482.0,9
35,28.0,10
36,123.0,1
36,434.0,2
36,446.0,3
37,63.0,1
37,191.0,2
37,309.0,3
37,329.0,4
37,331.0,5
37,44.0,6
37,266.0,7
37,71.0,8
37,403.0,9
38,92.0,1
38,285.0,2
39,175.0,1
39,255.0,2
39,407.0,3
39,312.0,4
39,317.0,5
39,437.0,6
39,77.0,7
39,235.0,8
39,319.0,9
40,66.0,1
40,67.0,2
41,450.0,1
41,405.0,2
41,412.0,3
42,360.0,1
42,122.0,2
43,340.0,1
43,4.0,2
43,286.0,3
43,35.0,4
43,313.0,5
43,101.0,6
44,363.0,1
44,13.0,2
45,147.0,1
45,231.0,2
45,280.0,3
45,46.0,4
45,144.0,5
45,292.0,6
45,177.0,7
45,153.0,8
46,24.0,1
46,308.0,2
46,84.0,3
46,170.0,4
46,480.0,5
46,59.0,6
46,385.0,7
46,57.0,8
46,120.0,9
46,444.0,10
47,478.0,1
47,332.0,2
48,165.0,1
48,39.0,2
48,251.0,3
48,279.0,4
48,451.0,5
49,310.0,1
49,307.0,2
49,489.0,3
49,47.0,4
49,435.0,5
49,213.0,6
50,91.0,1
50,73.0,2
50,336.0,3
50,134.0,4
50,305.0,5
51,355.0,1
51,204.0,2
51,417.0,3
51,323.0,4
52,432.0,1
52,95.0,2
52,32.0,3
52,19.0,4
52,415.0,5
53,99.0,1
53,269.0,2
53,72.0,3
53,276.0,4
53,469.0,5
53,413.0,6
53,421.0,7
53,30.0,8
54,495.0,1
54,190.0,2
54,201.0,3
54,121.0,4
54,209.0,5
54,335.0,6
55,36.0,1
55,454.0,2
55,140.0,3
55,356.0,4
55,262.0,5
56,186.0,1
56,62.0,2
56,391.0,3
56,16.0,4
57,142.0,1
58,430.0,1
58,80.0,2
59,135.0,1
59,353.0,2
59,328.0,3
59,9.0,4
60,113.0,1
60,289.0,2
60,342.0,3
60,22.0,4
60,83.0,5
60,221.0,6
60,188.0,7
60,93.0,8
61,0.0,1
61,314.0,2
61,79.0,3
61,241.0,4
61,438.0,5
61,254.0,6
61,460.0,7
61,86.0,8
61,259.0,9
62,239.0,1
62,471.0,2
62,193.0,3
62,156.0,4
63,302.0,1
63,31.0,2
63,243.0,3
63,154.0,4
