truck_id,order_id,sequence_number
0,91.0,1
0,244.0,2
0,174.0,3
0,78.0,4
1,48.0,1
1,26.0,2
1,145.0,3
1,299.0,4
1,189.0,5
1,400.0,6
1,248.0,7
1,479.0,8
1,107.0,9
1,180.0,10
2,0.0,1
2,271.0,2
2,314.0,3
2,184.0,4
2,79.0,5
2,438.0,6
2,241.0,7
2,254.0,8
2,325.0,9
2,460.0,10
3,86.0,1
3,259.0,2
4,340.0,1
4,4.0,2
4,160.0,3
4,6.0,4
4,257.0,5
5,286.0,1
5,334.0,2
5,35.0,3
5,357.0,4
5,397.0,5
5,128.0,6
5,119.0,7
5,313.0,8
5,87.0,9
5,101.0,10
6,23.0,1
6,49.0,2
6,195.0,3
6,291.0,4
6,329.0,5
6,309.0,6
6,341.0,7
7,394.0,1
7,411.0,2
7,457.0,3
7,470.0,4
7,236.0,5
7,423.0,6
7,125.0,7
7,442.0,8
7,266.0,9
7,287.0,10
8,381.0,1
8,393.0,2
8,215.0,3
8,81.0,4
8,240.0,5
8,403.0,6
9,474.0,1
9,277.0,2
9,302.0,3
9,265.0,4
9,31.0,5
9,243.0,6
9,152.0,7
9,154.0,8
9,187.0,9
9,238.0,10
10,290.0,1
11,143.0,1
11,418.0,2
11,490.0,3
11,362.0,4
11,432.0,5
11,15.0,6
11,95.0,7
11,288.0,8
11,346.0,9
12,349.0,1
12,32.0,2
12,25.0,3
12,282.0,4
12,493.0,5
12,108.0,6
12,372.0,7
13,399.0,1
13,415.0,2
14,495.0,1
14,190.0,2
14,275.0,3
14,201.0,4
14,209.0,5
14,121.0,6
14,19.0,7
14,377.0,8
14,422.0,9
14,294.0,10
15,338.0,1
15,113.0,2
15,217.0,3
15,284.0,4
15,83.0,5
15,402.0,6
16,175.0,1
16,407.0,2
16,255.0,3
16,419.0,4
16,237.0,5
16,318.0,6
16,273.0,7
16,168.0,8
16,303.0,9
16,322.0,10
17,146.0,1
17,492.0,2
17,316.0,3
18,319.0,1
19,197.0,1
19,115.0,2
19,40.0,3
19,228.0,4
20,301.0,1
21,383.0,1
22,118.0,1
22,186.0,2
22,62.0,3
22,391.0,4
22,16.0,5
23,142.0,1
24,355.0,1
24,204.0,2
24,417.0,3
24,323.0,4
25,310.0,1
25,306.0,2
25,307.0,3
25,489.0,4
25,47.0,5
25,435.0,6
25,213.0,7
25,440.0,8
25,439.0,9
26,111.0,1
26,426.0,2
26,90.0,3
26,159.0,4
26,395.0,5
26,172.0,6
26,327.0,7
26,375.0,8
26,227.0,9
26,260.0,10
27,63.0,1
27,191.0,2
27,331.0,3
27,44.0,4
27,480.0,5
27,84.0,6
27,59.0,7
27,71.0,8
27,444.0,9
28,157.0,1
28,374.0,2
28,11.0,3
28,56.0,4
28,94.0,5
28,105.0,6
28,234.0,7
28,384.0,8
28,102.0,9
28,249.0,10
29,448.0,1
30,55.0,1
30,223.0,2
30,253.0,3
30,352.0,4
30,425.0,5
30,216.0,6
30,126.0,7
30,219.0,8
30,222.0,9
30,252.0,10
31,139.0,1
31,424.0,2
31,130.0,3
31,205.0,4
32,210.0,1
32,324.0,2
33,363.0,1
33,455.0,2
33,270.0,3
33,13.0,4
34,450.0,1
34,456.0,2
34,405.0,3
34,412.0,4
35,348.0,1
35,404.0,2
35,51.0,3
35,230.0,4
35,70.0,5
35,88.0,6
35,461.0,7
35,477.0,8
35,54.0,9
35,382.0,10
36,151.0,1
37,481.0,1
38,326.0,1
38,350.0,2
38,165.0,3
38,401.0,4
38,496.0,5
38,85.0,6
38,110.0,7
38,192.0,8
38,39.0,9
38,179.0,10
39,251.0,1
39,279.0,2
